Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Date
Nmplol,429213420,63870,24687,6767,455444,130564,8859183,TRUE,FALSE,English,2011-04-19 16:43
relaxing234,428279160,51180,19194,8405,258402,88247,12225523,TRUE,FALSE,Chinese,2011-12-14 8:58
Doigby,428267280,59655,93577,6829,1068260,611786,11805401,TRUE,FALSE,French,2011-10-14 18:21
Sequisha,426325350,163530,19755,2540,252495,86220,7404102,TRUE,TRUE,English,2011-10-14 22:01
HusKerrs,425044665,107610,39433,3247,361360,288952,6298662,TRUE,FALSE,English,2012-04-27 0:12
yapyap30,422278350,46800,36933,9306,301033,26768,9798569,TRUE,FALSE,Korean,2015-10-07 13:32
Elwind,421436625,58965,18270,7165,703464,200170,14369324,TRUE,FALSE,Turkish,2014-09-22 19:33
Shiphtur,420316860,118410,19688,3414,709343,58604,7906425,TRUE,FALSE,English,2011-12-04 7:21
BarbarousKing,419187600,188895,13419,2244,159402,42931,4822422,TRUE,TRUE,English,2014-02-15 23:03
alexelcapo,418413015,72930,74670,5772,680023,211908,13364167,TRUE,FALSE,Spanish,2012-09-12 21:24
moistcr1tikal,415091820,103170,42135,3977,1166681,724159,7780736,TRUE,FALSE,English,2016-08-15 1:10
Rush,412717875,86265,15405,4731,542991,120906,7575905,TRUE,FALSE,English,2015-11-20 0:17
LosPollosTV,411900525,69900,54323,5671,476096,138468,6201733,TRUE,FALSE,English,2014-04-22 21:59
DreamLeague,411414600,244560,147514,1751,349054,61032,7424007,TRUE,FALSE,English,2013-10-14 10:37
Voyboy,411274050,80670,21187,4632,1251182,139443,8151140,TRUE,FALSE,English,2010-08-02 2:21
BastiGHG,410621295,144135,10455,2733,507730,236118,8093220,TRUE,FALSE,German,2012-12-01 17:30
DatModz,409985220,228615,14288,1753,270720,36757,9812812,TRUE,FALSE,English,2011-08-16 5:03
dafran,408885990,92565,19611,4319,599036,142689,7944645,TRUE,FALSE,English,2013-03-14 9:33
yeTz,408478725,87990,21212,4221,849972,281059,10731565,TRUE,FALSE,Portuguese,2012-01-23 1:43
Aurateur,407829960,163815,15547,2492,142427,26782,4368785,TRUE,TRUE,English,2015-11-20 9:52
pokelawls,407214675,118335,22496,3352,668807,182123,5999354,TRUE,FALSE,English,2010-06-05 9:10
ziGueira,407188275,117555,36519,3203,529814,212042,7967420,TRUE,FALSE,Portuguese,2012-07-16 0:36
A_Seagull,407156655,95160,28779,4193,1028544,55228,7374161,TRUE,TRUE,English,2010-12-28 13:01
koil,403848390,145035,13421,2791,299033,50231,7743238,TRUE,TRUE,English,2011-11-30 1:44
PAGO3,402836460,156135,20284,2326,425072,150470,12693893,TRUE,FALSE,Polish,2012-04-02 13:52
Llobeti4,402468465,112545,37469,3410,648084,606080,9957496,TRUE,FALSE,Spanish,2016-01-02 1:20
xargon0731,401439255,155325,8406,2549,283232,16999,17013239,TRUE,FALSE,Chinese,2013-08-07 18:46
itsHafu,400822020,123375,34345,3276,787371,36756,10008765,TRUE,FALSE,English,2012-05-24 19:36
shongxbong,400635750,50310,94869,7656,845158,671127,4198232,TRUE,FALSE,Arabic,2018-07-28 3:27
StaysafeTV,399746130,135180,15608,2876,149648,73218,7427189,TRUE,TRUE,English,2012-04-19 22:29
Loeya,398289900,150495,7955,2635,1233300,337821,19024045,TRUE,FALSE,English,2017-07-23 10:25
RiotGamesJP,390922410,26325,60682,13675,141684,36105,9101692,TRUE,FALSE,Japanese,2015-10-21 4:32
btssmash,389890800,362970,94083,1061,216558,81658,6933788,TRUE,FALSE,English,2018-04-13 22:09
PietSmiet,387717165,84495,39004,4147,576903,122061,11483357,TRUE,FALSE,German,2011-04-25 13:59
Payo,385755615,137400,12274,2772,175503,112595,11672019,TRUE,FALSE,English,2014-03-25 16:55
Shotz,385739280,153105,10316,2523,159763,48388,5464553,TRUE,TRUE,English,2016-01-15 18:14
silphtv,385176540,197055,9401,1891,309065,87400,7215989,TRUE,FALSE,Korean,2016-10-26 20:54
m0xyy,384746505,136095,25387,2431,461534,269311,6207063,TRUE,FALSE,English,2014-08-15 2:48
LexVeldhuis,380251830,73935,58416,4939,244467,66680,14339774,TRUE,FALSE,English,2011-09-23 17:14
NateHill,379971075,111555,41610,3311,1055613,449635,14221498,TRUE,FALSE,English,2017-11-10 16:26
Shaunz,379800060,97860,20861,3791,148568,84393,10605782,TRUE,FALSE,French,2013-05-02 13:00
Emongg,379682235,155910,21922,2228,504653,156093,5794763,TRUE,FALSE,English,2011-07-01 20:42
fl0m,379633995,188070,19318,1931,658323,183265,11489901,TRUE,FALSE,English,2011-09-26 19:14
AsmodaiTV,379345935,132360,11751,2796,247056,30588,6547592,TRUE,FALSE,English,2013-12-10 13:59
Homyatol,378734925,70725,26274,4826,375749,249186,6981248,TRUE,TRUE,Italian,2011-03-16 18:40
Grimmmz,377312595,176580,21993,2153,1001739,37734,7803917,TRUE,TRUE,English,2009-12-31 7:57
aXtLOL,376430955,73815,25340,4991,763886,193266,8969210,TRUE,FALSE,Portuguese,2013-03-28 1:14
boyMinORu,376358805,142830,22141,2717,367223,73551,17822170,TRUE,TRUE,Thai,2016-03-10 15:02
just_ns,376209315,93615,37023,3969,341549,66811,12351240,TRUE,FALSE,Russian,2013-04-10 19:39
BurkeBlack,372767025,171675,4922,2154,276421,13471,5367772,TRUE,TRUE,English,2013-06-04 7:39
Trick2g,371417130,132945,28917,2650,1476226,115863,8688676,TRUE,TRUE,English,2012-02-06 21:16
FORMAL,369971310,137190,16518,2391,512592,176173,4803076,TRUE,FALSE,English,2010-05-02 7:18
Fortnite,369166335,12030,169084,28584,3558217,1163448,21509520,TRUE,FALSE,English,2014-01-17 12:49
Magic,362552205,43350,114234,5123,365714,50355,18694298,TRUE,FALSE,Spanish,2011-12-23 18:03
Xari,361741665,80535,28830,4841,269447,147894,5746209,TRUE,FALSE,French,2015-04-12 0:03
RocketBeansTV,360858030,518415,5223,696,416018,27024,5973152,TRUE,FALSE,German,2013-08-15 15:38
ANGRYPUG,360278835,184845,9822,1892,366463,48331,4962556,TRUE,TRUE,English,2014-05-26 0:37
MarcaoRX,359273445,336690,5210,1258,166594,65904,4541683,TRUE,TRUE,Portuguese,2018-01-26 16:22
yamatonjp,359095725,159420,8247,2269,179920,67794,10882318,TRUE,FALSE,Japanese,2014-03-01 12:38
btscsgo,357966315,57165,74949,6530,219539,166599,9173781,TRUE,FALSE,English,2019-03-12 22:00
Skyyart,356907810,111165,32577,2311,598579,239491,8203617,TRUE,FALSE,French,2014-08-31 3:29
gratis150ml,356697420,198075,9601,1801,741652,129328,12187175,TRUE,FALSE,Portuguese,2013-11-26 14:16
ShivFPS,355389630,203175,7216,1782,236407,174213,6900666,TRUE,FALSE,English,2016-06-30 14:02
Ponce,355091505,111360,23255,3043,242969,196880,13687141,TRUE,FALSE,French,2013-10-24 19:04
Distortion2,354144315,170220,11495,1953,314170,44982,5500067,TRUE,TRUE,English,2012-09-20 22:56
boxbox,353396640,117720,25314,2717,1717150,145809,9971842,TRUE,FALSE,English,2012-12-30 6:58
rkdwl12,353381040,141450,29993,2484,507418,270927,12873339,TRUE,FALSE,Korean,2017-03-01 22:48
TheKAIRI78,353046060,50310,47081,6795,885915,650990,5134322,TRUE,FALSE,French,2011-11-14 8:46
RiotGamesRU,352700745,17880,73049,19753,173861,75538,6832561,TRUE,FALSE,Russian,2014-10-13 12:59
FPSThailand,351025410,158640,38563,2260,390579,74894,18596656,TRUE,FALSE,Thai,2012-12-16 19:44
naseongkim,350120640,215505,7628,1584,103260,20536,8471746,TRUE,FALSE,Korean,2015-10-09 15:04
obm1025,346276365,96000,19328,3563,428179,244442,8920133,TRUE,FALSE,Korean,2017-07-22 8:53
singsing,346171920,126795,11839,2735,572005,45761,6526670,TRUE,TRUE,English,2011-03-28 14:51
BlackUFA,345166455,88035,10349,3889,279922,34803,12888906,TRUE,FALSE,Russian,2015-08-09 18:19
QuattroAce,342273825,185715,48810,1696,157620,136490,7245324,TRUE,FALSE,Russian,2016-09-13 7:28
bateson87,342162660,98730,20204,3344,598678,254821,16648694,TRUE,FALSE,English,2012-02-20 0:28
Staiy,341874270,91545,15429,3711,259624,90591,5503882,TRUE,FALSE,German,2013-09-11 17:53
polsatgames,340417455,57870,66706,5695,141026,74586,16290334,TRUE,FALSE,Polish,2018-08-29 9:09
NymN,340095510,100125,23488,3402,241746,111122,4409296,TRUE,TRUE,English,2014-05-08 15:19
orangemorange,338213940,122835,18387,2653,261139,85861,9889442,TRUE,FALSE,German,2015-07-08 20:32
MinosTV_,338084550,167190,24576,2034,204605,192534,5554989,TRUE,TRUE,French,
NairoMK,335695215,106200,22074,3054,339545,69474,6132895,TRUE,FALSE,English,2014-11-19 14:41
109ace,335311860,145425,12180,2202,166726,35165,7631326,TRUE,FALSE,Korean,2015-09-24 3:01
UnknownxArmy,333869670,92250,41700,3735,850944,836664,11325781,TRUE,FALSE,English,2018-12-28 20:09
s1mple,333097410,24615,34971,12723,1681884,740732,20277843,TRUE,FALSE,English,2014-04-15 10:49
bysTaXx,331965075,48945,259210,6210,1093212,795296,10207313,TRUE,FALSE,Spanish,2011-10-24 19:16
Sjow,331726155,149700,8140,2189,240206,21662,3365340,TRUE,FALSE,English,2011-05-24 22:03
hardgamechannel,331308960,55125,27529,5711,786562,256678,10562872,TRUE,FALSE,Russian,2017-04-14 12:54
scoped,330160515,63360,47343,5165,731808,728892,8279834,TRUE,TRUE,English,2018-01-27 14:09
VooDooSh,329448660,137670,7560,2519,85678,66129,9003037,TRUE,TRUE,Russian,2015-04-04 14:48
WELOVEGAMES,328935150,116520,27956,2761,413458,49713,23682775,TRUE,FALSE,Russian,2012-05-26 11:18
StereOnline,327697680,400770,4227,785,327645,91352,4620985,TRUE,FALSE,Portuguese,2015-01-02 2:36
keanelol,327242790,147255,7208,2176,162917,85035,4068823,TRUE,FALSE,English,2014-11-04 23:49
sal_gu,326488155,122925,16252,2663,164092,45255,6226900,TRUE,FALSE,Korean,2016-06-25 19:01
sips_,325731015,108990,7872,2984,430755,84034,4331397,TRUE,TRUE,English,2011-12-03 19:45
ESL_CSGOb,325637220,52530,89949,5114,575769,183662,13742820,TRUE,FALSE,English,2012-09-03 15:34
kyo1984123,325018110,204975,5967,1516,135687,12731,12070678,TRUE,FALSE,Chinese,2016-03-23 2:39
midbeast,324433515,118005,16153,2652,330060,143256,10000927,TRUE,FALSE,English,2015-05-28 13:42
Alexby11,323225055,54810,53526,5331,1448018,1145810,8378248,TRUE,FALSE,Spanish,2011-01-29 22:42
Tumblurr,322841490,81210,17165,3846,353687,236441,4008897,TRUE,FALSE,Italian,2014-12-23 20:20
Veritas,320121405,135150,103833,1595,182492,131913,4176079,TRUE,FALSE,English,2015-04-02 23:02
daltoosh,319194420,154440,16445,2038,241602,163486,3665065,TRUE,FALSE,English,2018-09-19 22:34
ELoTRiX,319051995,56310,31194,5620,895851,318247,5587147,TRUE,TRUE,German,2013-05-07 14:49
TSM_Viss,316437645,117795,18844,2668,762778,101135,7091125,TRUE,FALSE,English,2015-05-02 1:16
Anthony_Kongphan,316366395,163920,49085,1858,462128,44534,6805829,TRUE,FALSE,English,2011-04-08 3:58
modestal,316203420,55455,25985,5660,323364,193939,11440074,TRUE,FALSE,Russian,2016-01-13 13:15
yumyumyu77,315613800,66315,24521,4496,309322,46911,13030325,TRUE,FALSE,Korean,2017-05-13 15:27
XEWER,315398565,189315,17100,1660,455056,215059,6449741,TRUE,FALSE,French,2015-04-14 7:17
blxckoutz,314656260,152970,18483,2566,482061,402587,8381945,TRUE,FALSE,Portuguese,2017-05-15 15:31
EASPORTSFIFA,313078095,12165,106126,24395,1287954,427684,11286667,TRUE,FALSE,English,2012-02-06 11:28
ALOHADANCETV,312898725,70320,18317,4288,555334,92209,12461610,TRUE,TRUE,Russian,2013-07-24 22:50
rudbeckia7,311520135,126300,7111,2478,212053,24606,9675073,TRUE,FALSE,Korean,2013-07-30 7:46
Flashpoint,311325840,19320,77708,11713,93616,93120,27828448,TRUE,FALSE,English,2020-02-05 17:23
Steelmage,311218875,178485,10815,1696,60987,37839,7005761,TRUE,FALSE,English,2014-02-21 2:00
RoyalPhunk,311093010,104565,12141,2934,204451,34597,4921311,TRUE,TRUE,German,2011-03-31 1:55
Overpow,309892665,153015,10858,2004,254516,29344,9020762,TRUE,TRUE,Polish,2009-10-24 15:23
NeVeR_LosEs,309559170,82635,9671,3680,200953,23806,10608507,TRUE,FALSE,Chinese,2012-04-12 6:14
AvoidingThePuddle,309117315,80955,13108,3893,336181,67040,4202354,TRUE,TRUE,English,2011-07-18 6:44
Ko0416,307823730,200625,5448,1515,108784,12127,11705657,TRUE,TRUE,Chinese,2015-08-24 5:18
Dota2ruhub2,307331445,55230,54508,5158,248277,71813,13417924,TRUE,FALSE,Russian,2015-08-28 9:36
Slushpuppy,307001595,150525,118125,1560,122486,85852,5065635,TRUE,FALSE,English,2017-01-19 5:38
itmeJP,306920835,145950,24603,2079,369273,6134,10677522,TRUE,FALSE,English,2010-02-28 9:30
JesusAVGN,306076605,78315,43859,3838,682899,181914,13548535,TRUE,FALSE,Russian,2012-08-16 13:21
tarzaned,306010080,72390,14602,4159,388878,172683,7744943,TRUE,TRUE,English,2016-05-08 12:09
Mickalow,305967975,157260,37872,1830,864324,260914,8191116,TRUE,FALSE,French,2012-05-21 15:17
UNLOSTV,304599090,19995,128345,12171,1585519,571237,11452750,TRUE,FALSE,Turkish,2015-02-21 22:21
resttpowered,304222200,148335,9248,2072,252184,37681,8585834,TRUE,FALSE,Slovak,2013-10-12 11:37
Felps,303435945,96930,15553,3109,844681,284169,6099521,TRUE,FALSE,Portuguese,2012-05-20 3:36
Doublelift,301917225,20370,52584,13364,1389835,166536,7617972,TRUE,FALSE,English,2013-02-03 23:47
kss7749,301790445,115380,12295,2403,170718,19597,7546887,TRUE,FALSE,Korean,2015-01-31 19:47
Kiwo,299469345,234330,10836,1243,296481,38195,4900030,TRUE,TRUE,English,2012-11-17 20:25
adolfz,299235990,62520,15928,4926,294217,154653,2743587,TRUE,TRUE,Portuguese,2011-12-10 23:30
LigaPro1,298828170,232620,11533,1149,30986,29434,60922719,FALSE,FALSE,Other,2019-06-03 13:08
knekro,298811910,102210,13731,2912,260728,97206,10900480,TRUE,FALSE,Spanish,2017-04-07 16:28
Savjz,298693050,86205,12708,3401,542892,13967,4072337,TRUE,FALSE,English,2013-05-03 12:27
BobbyPoffGaming,298668465,224295,6453,1254,125803,81131,2208405,TRUE,FALSE,English,2018-04-08 15:29
The_Happy_Hob,295999245,106125,8560,2834,216106,38712,4158704,TRUE,TRUE,English,2015-04-07 12:20
Smurfdomuca,294868035,107055,18282,2843,267948,251923,5976634,TRUE,FALSE,Portuguese,2017-01-05 16:47
Timmac,294663825,191970,13500,1460,393639,32867,4232938,TRUE,FALSE,English,2009-11-22 18:56
Nikolarn,293952480,129510,30044,2279,526389,214216,3964166,TRUE,FALSE,English,2014-07-13 19:55
so_urf,293688270,167895,9665,1756,95477,44040,8120712,TRUE,FALSE,Korean,2017-04-11 13:56
RiffTrax,293583075,521445,24765,562,79099,17200,3313465,TRUE,FALSE,English,2009-08-19 23:08
pimpimenta,293014110,164940,20855,1744,828298,254312,12258152,TRUE,FALSE,Portuguese,2015-09-16 20:07
faceittv,292881510,35910,145470,9722,1681615,23166,17259602,TRUE,FALSE,English,2012-02-03 20:17
crokeyz,292698660,163095,5916,1796,68907,36715,3476636,TRUE,FALSE,English,2011-06-15 2:01
Letshe,291144945,80745,28808,3073,884661,687813,11561585,TRUE,FALSE,English,2017-11-19 12:49
SaltyBet,290991045,508140,3467,571,224099,69465,4509671,TRUE,FALSE,English,2013-05-05 0:54
sonycast_,290499225,100605,7998,2840,255949,54706,10802748,TRUE,FALSE,Korean,2016-10-19 8:51
HGmony,290461620,111360,21999,2465,34358,32326,90310969,FALSE,FALSE,Russian,2019-07-12 11:39
jakenbakeLIVE,289531305,120435,23432,2375,489623,116554,7920696,TRUE,FALSE,English,2010-03-22 7:22
Syndicate,289369785,58695,22845,4281,3000509,282047,13227099,TRUE,FALSE,English,2010-10-17 23:19
RakanooLive,289110855,104535,22607,2726,1234662,471456,3836302,TRUE,FALSE,Arabic,2016-03-24 18:42
rhdgurwns,289103100,76590,40001,3828,289455,67061,12487303,TRUE,FALSE,Korean,2015-06-09 1:04
limit_maximum,288857850,85905,124818,1886,162040,70116,5965543,TRUE,TRUE,English,2013-04-15 4:35
ElRichMC,288441015,31155,95938,9062,688715,431071,8120275,TRUE,FALSE,Spanish,2012-05-19 16:14
guit88man,287764245,140685,7681,1989,144898,25130,8666012,TRUE,TRUE,Russian,2011-10-21 13:23
RaizQT,286839210,121965,15185,2164,167584,31194,5190502,TRUE,FALSE,English,2012-09-17 20:11
ReventXz,286819950,84330,47282,3073,362062,219868,8050871,TRUE,FALSE,Spanish,2013-02-07 17:44
PatoPapao,286740930,100470,11694,2795,656860,116753,8955254,TRUE,FALSE,Portuguese,2012-08-23 15:10
Replays,285932205,140220,16193,1983,871405,449727,5185473,TRUE,FALSE,English,2017-02-03 11:23
cdewx,284645955,139140,23448,1904,380159,50596,8015709,TRUE,FALSE,English,2011-09-09 2:24
asiagodtonegg3be0,284354865,63645,18594,4426,494643,22853,11106574,TRUE,FALSE,Chinese,2013-05-04 15:56
BotezLive,283479405,115845,36278,1985,330772,280964,12851602,TRUE,FALSE,English,2016-06-23 19:36
Conterstine,283398825,92805,18090,2557,386804,375789,5308302,TRUE,FALSE,Spanish,2013-10-07 21:46
BeyondTheSummit_PT,282753480,339000,49496,807,203549,60955,9694977,TRUE,FALSE,Portuguese,
AlphaCast,281533785,84165,28898,3046,411993,152951,8864009,TRUE,TRUE,French,2015-06-25 14:05
DownToQuest,281365035,513540,20723,543,82299,53724,3524088,TRUE,TRUE,English,2017-03-20 22:18
jungtaejune,280810635,165945,6787,1649,124835,15713,8660860,TRUE,FALSE,Korean,2015-03-24 16:09
PENTA,280798065,116745,7172,2322,152821,40474,2786097,TRUE,TRUE,English,2015-03-04 0:39
thedarkness,280707810,155595,7440,1914,536792,138160,7628946,TRUE,FALSE,Portuguese,2013-12-03 20:37
uhSnow,280296045,88500,8375,3150,134611,43869,3334788,TRUE,TRUE,English,2016-04-27 23:44
JERICHO,280176915,112860,21935,2401,1191987,66665,7582522,TRUE,FALSE,English,2010-02-06 1:00
T90Official,279691620,76395,51422,3379,160226,69044,6886631,TRUE,FALSE,English,2015-06-07 20:39
DanucD,278223765,135030,4439,2045,546052,223147,12048648,TRUE,FALSE,English,2018-01-09 18:40
DisguisedToast,277695945,20325,38169,9892,1340283,192604,5928269,FALSE,FALSE,English,2015-04-01 22:25
DesertHeartsRecords,276313155,64620,24264,3620,85097,84304,58418224,FALSE,FALSE,English,2020-03-22 18:52
Jankos,274889760,45045,18826,5858,573657,271355,9284513,TRUE,FALSE,English,2009-05-06 18:05
GarenaTW,273964050,12435,85416,22130,401222,21388,7818029,TRUE,FALSE,Chinese,2012-02-24 7:03
dogswellfish,273920670,161235,10929,1601,215413,37690,10626908,TRUE,FALSE,Korean,2013-09-20 5:19
Sykkuno,272813670,91035,29658,2530,334591,305734,5285377,TRUE,FALSE,English,2011-11-15 1:29
JokerdTV,271815660,120165,319862,2013,159384,157656,9070954,TRUE,TRUE,English,2013-08-25 0:28
A1taOda,269877405,140625,11974,1844,537519,67361,10306828,TRUE,FALSE,Russian,2013-11-12 16:49
livekiss,269518965,517260,7435,520,31323,2447,1641644,TRUE,FALSE,Chinese,2015-12-03 11:23
Jerma985,269372580,57495,15921,4773,334594,92752,3411872,TRUE,TRUE,English,2011-08-08 5:13
KamoLRF,269229795,66330,19264,3948,688868,184854,5731570,TRUE,FALSE,German,2017-06-23 19:00
GoldGlove,268632360,119895,22448,2196,1433703,23684,16902968,TRUE,FALSE,English,2008-08-26 5:35
harbleu,266439435,65775,13230,3926,349467,112349,3527460,TRUE,FALSE,English,2009-02-22 5:29
runthefutmarket,265426125,84945,20746,2999,292812,146753,4266359,TRUE,FALSE,English,2017-01-04 5:52
alenenwooptv,265229580,189900,4290,1418,125615,22295,5390604,TRUE,FALSE,Korean,2016-10-23 17:52
KarmikKoala,262630950,120450,10587,2205,151920,71165,8619663,TRUE,FALSE,Russian,2014-01-10 18:43
JustCooman,262612740,76035,10776,3287,159117,89413,7809170,TRUE,FALSE,Russian,2014-06-04 6:53
IamCristinini,262492530,135240,7943,1906,398634,218848,12690137,TRUE,FALSE,Spanish,2016-05-10 10:15
Xop0,262276575,235920,4074,1110,94751,50725,18709302,FALSE,FALSE,Russian,2013-03-24 9:56
Warframe,262160025,13740,346131,12843,1254031,282680,5405191,TRUE,FALSE,English,2012-06-23 1:41
Smoke,261617925,100050,25500,2331,166007,53212,2955403,TRUE,FALSE,English,2014-09-09 18:31
Moondye7,261610875,97350,22231,2530,306920,39732,6839587,TRUE,FALSE,German,2012-09-03 10:32
jean_mago,261252810,113445,11418,2012,342691,269837,7609872,TRUE,FALSE,Portuguese,2018-08-06 0:25
mL7support,260845395,115380,9038,2124,342850,140872,5387428,TRUE,FALSE,English,2013-11-21 21:59
KriszhAdvice,258011790,147675,28709,1593,284899,97984,6927865,TRUE,FALSE,Hungarian,2017-02-13 22:14
QuickyBaby,255820995,118710,11077,2207,416329,45998,5642381,TRUE,FALSE,English,2012-05-18 15:04
aDrive,255087615,101085,14637,1692,461081,117274,3858228,TRUE,FALSE,English,2010-08-04 5:27
Ampeterby7,254852265,27480,43882,9301,1194476,1185647,6513197,FALSE,FALSE,Spanish,2014-12-21 14:26
KabajiOW,254772135,72240,13865,3252,369667,87338,4098475,TRUE,TRUE,English,2016-01-31 21:55
SNEUX,254717640,57510,30067,3748,196635,155555,4540889,TRUE,FALSE,Spanish,2016-10-15 2:36
TrU3Ta1ent,254345355,113745,10901,2204,595939,101235,6614948,TRUE,FALSE,English,2013-08-29 15:25
OgamingSC2,253498875,484455,11457,547,105368,11075,15776556,TRUE,FALSE,French,2014-09-24 15:06
ajehr,252452325,76575,11117,3292,362794,86655,5623906,TRUE,FALSE,Korean,2016-10-29 18:20
cyr,252345645,146190,19267,1678,182107,49771,4106827,TRUE,TRUE,English,2012-11-08 5:33
MrSavage,251627985,33030,31525,6883,1651212,734583,9931629,TRUE,FALSE,English,2018-02-24 18:41
Perxitaa,251497200,30330,55418,8010,689582,669977,7036771,TRUE,FALSE,Spanish,2012-09-05 22:12
IlloJuan,251067885,60495,24315,4087,275174,178705,5676686,TRUE,FALSE,Spanish,2015-05-02 17:47
masondota2,250624350,83205,8377,2882,104526,39906,3406472,TRUE,FALSE,English,2013-02-26 3:26
Annoying,250297065,64290,17361,3884,431285,158587,1799471,TRUE,FALSE,English,2015-05-31 17:14
kumikomii,249821475,152370,5227,1615,177741,62122,5979126,TRUE,FALSE,Korean,2015-03-26 11:47
Manyrin,249488880,109125,17140,2284,449520,146381,11128490,TRUE,FALSE,Russian,2013-12-28 19:15
1DrakoNz,249476295,99180,15242,2655,373375,252999,6950267,TRUE,TRUE,Portuguese,2016-03-15 6:59
Pace22,247862850,156975,10350,1524,171871,112723,3080537,TRUE,TRUE,English,2012-06-19 1:08
Rammus53,247730100,104520,16370,2217,978645,332303,11041262,TRUE,TRUE,Turkish,2014-10-13 21:49
SaltyTeemo,247613265,517980,1803,476,173196,36103,2117741,FALSE,FALSE,English,2013-10-29 1:02
Odablock,247535550,101595,29397,2336,131966,92477,4228405,TRUE,FALSE,English,2017-10-14 19:29
MckyTV,247481385,65025,49791,3599,722041,256660,9947455,TRUE,FALSE,German,2015-09-06 10:35
Calebhart42,246974370,124830,6763,1808,177595,13410,2533119,TRUE,FALSE,English,2011-02-16 22:05
MacieJay,246761880,107805,7318,2249,835787,195140,5353692,TRUE,FALSE,English,2016-04-21 6:08
R6esportsBR,246712590,47100,60386,4021,323856,98848,5855733,TRUE,FALSE,Portuguese,2016-08-13 16:38
chistor_,246342825,128430,7099,1838,89608,30354,5658271,TRUE,FALSE,Russian,2012-06-04 18:24
Kephrii,245934495,165135,8709,1297,559647,102990,5923710,TRUE,FALSE,English,2012-06-23 23:15
FEDMYSTER,245399790,24945,35011,9086,609723,284967,5176805,TRUE,FALSE,English,2013-01-04 23:49
Gosu,244854375,64590,16362,3502,1751290,185952,9377658,TRUE,FALSE,English,2013-03-31 21:12
supertf,244635645,90585,9118,2526,196136,139939,3551440,TRUE,FALSE,English,2014-03-25 20:08
MoMaN,244502235,145755,16550,1363,360418,120693,8390437,TRUE,TRUE,French,2010-12-20 5:34
Kotton,244412715,73005,58818,2757,253065,80920,4459178,TRUE,TRUE,English,2015-01-31 22:32
saintvicious,244262295,168030,5370,1422,247236,44436,3133396,TRUE,FALSE,English,2012-05-19 20:27
winstrike_tv,243711495,19695,153252,12058,148183,148055,8767404,TRUE,FALSE,Russian,2020-01-28 13:28
pijack11,243578730,148140,8181,1569,252717,144993,6752832,TRUE,TRUE,Portuguese,2013-09-12 18:17
pqueen,243465255,88965,11976,2602,485787,328149,8544093,TRUE,FALSE,Turkish,2017-10-10 19:32
Northernlion,242833140,60855,9312,3968,359260,22629,3384340,TRUE,FALSE,English,2010-08-05 4:55
Nattank,241616550,144480,8770,1537,86544,67207,8232442,TRUE,TRUE,Portuguese,2016-09-17 2:32
bmkibler,241615470,103230,15034,2247,475075,23971,5087052,TRUE,FALSE,English,2011-11-01 22:06
Arteezy,240834885,12285,31009,19681,634982,99726,3776042,TRUE,TRUE,English,2011-07-09 22:27
sunbaking,240663180,86235,8260,2762,251416,98720,3298202,TRUE,FALSE,Korean,2016-02-04 5:26
flamuu,239018790,126915,5242,1851,117425,36301,3225407,TRUE,TRUE,English,2014-06-07 18:31
Mixwell,238993935,52905,23552,4219,331208,271798,6539837,TRUE,FALSE,Spanish,2015-07-14 14:44
AntoineDanielLive,238217145,54870,16671,3964,416920,272263,6778234,TRUE,FALSE,French,2016-09-26 20:54
G4G_REVENANT,237767160,82110,14376,2947,284620,69353,6608568,TRUE,FALSE,Spanish,2012-12-13 22:29
maxim,236707830,71685,21262,3173,312566,129119,5439874,TRUE,TRUE,German,2017-09-01 13:13
yd0821,236218920,28275,38412,8075,279864,56233,1901665,TRUE,FALSE,Korean,2015-10-01 19:38
c9judite,235689105,364425,8210,644,105341,84754,7982996,TRUE,FALSE,Portuguese,2014-10-13 1:35
WOKE,235303170,51600,50598,3827,107484,105725,3460437,TRUE,TRUE,English,2013-02-22 23:57
Amaz,235255500,84525,12652,2764,915023,-5405,4237993,TRUE,FALSE,English,2013-05-09 16:46
ESL_SC2,234726075,278745,40072,1414,305311,36130,5674624,TRUE,FALSE,English,2012-05-02 9:59
CooLifeGame,234307740,47010,15459,4415,395859,167356,5764214,TRUE,FALSE,Spanish,2013-04-24 14:00
BruceGrannec,234104805,78270,11287,3011,463188,95268,5973378,TRUE,FALSE,French,2012-07-02 17:10
CuteDog_,234058290,207090,7016,1104,113658,22074,3489772,TRUE,TRUE,English,2015-12-23 15:58
wtf_winds123,233395950,92775,11975,2410,259338,32952,9883708,TRUE,FALSE,Chinese,2012-04-06 8:53
theRealShooKon3,233210205,166260,6148,1333,126282,37207,2944974,TRUE,TRUE,English,2013-03-13 6:16
Albralelie,232815960,128580,18730,1668,240030,216977,5392597,TRUE,FALSE,English,2016-01-16 0:55
looksam,232224165,75030,32222,3302,285474,14351,7901792,TRUE,FALSE,Korean,2014-05-09 15:41
GTimeTV,232140015,187335,14110,1022,665021,155419,5838039,TRUE,TRUE,German,2014-04-04 8:57
WagamamaTV,231985905,178470,7377,1268,312799,20933,3880798,TRUE,FALSE,English,2011-09-14 17:02
